"name";"chromosome";"value";"description";"seq_region_start";"seq_region_end";"seq_region_strand";"biotype";"stable_id"
"sult1st1";"8";"sult1st1";"sulfotransferase family 1, cytosolic sulfotransferase 1 [Source:ZFIN;Acc:ZDB-GENE-030131-2144]";"46499098";"46509194";"-1";"protein_coding";"ENSDARG00000028275"
"sult1st2";"8";"sult1st2";"sulfotransferase family 1, cytosolic sulfotransferase 2 [Source:ZFIN;Acc:ZDB-GENE-030804-27]";"46513743";"46525092";"-1";"protein_coding";"ENSDARG00000041540"
"pimr187";"8";"CH211-196G2.7";"Pim proto-oncogene, serine/threonine kinase, related 187 [Source:ZFIN;Acc:ZDB-GENE-081104-161]";"46536893";"46539278";"1";"protein_coding";"ENSDARG00000088067"
"pimr186";"8";"CH211-196G2.8";"Pim proto-oncogene, serine/threonine kinase, related 186 [Source:ZFIN;Acc:ZDB-GENE-081104-162]";"46552778";"46555161";"1";"protein_coding";"ENSDARG00000095734"
"sult1st3";"8";"sult1st3";"sulfotransferase family 1, cytosolic sulfotransferase 3 [Source:ZFIN;Acc:ZDB-GENE-030804-28]";"46559332";"46581448";"-1";"protein_coding";"ENSDARG00000018361"
"tas1r2.1";"8";"tas1r2.1";"taste receptor, type 1, member 2, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-070917-1]";"46587593";"46597751";"1";"protein_coding";"ENSDARG00000053135"
"tas1r2.2";"8";"tas1r2";"taste receptor, type 1, member 2, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-070917-2]";"46610020";"46619620";"1";"protein_coding";"ENSDARG00000059397"
"her3";"8";"her3";"hairy-related 3 [Source:ZFIN;Acc:ZDB-GENE-980526-204]";"46641314";"46642556";"1";"protein_coding";"ENSDARG00000076857"
"gpr153";"8";"NULL";"G protein-coupled receptor 153 [Source:ZFIN;Acc:ZDB-GENE-050823-7]";"46656170";"46700278";"-1";"protein_coding";"ENSDARG00000087601"
"acot7";"8";"NULL";"acyl-CoA thioesterase 7 [Source:ZFIN;Acc:ZDB-GENE-040912-42]";"46758264";"46894362";"-1";"protein_coding";"ENSDARG00000018653"
"hes2.2";"8";"CH211-122N14.2";"hes family bHLH transcription factor 2, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-060825-55]";"46896445";"46897734";"-1";"protein_coding";"ENSDARG00000068168"
"hes2.1";"8";"CH211-122N14.3";"hes family bHLH transcription factor 2, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-081104-104]";"46921333";"46926259";"-1";"protein_coding";"ENSDARG00000074897"
"espn";"8";"DKEY-77H17.1";"espin [Source:ZFIN;Acc:ZDB-GENE-081105-173]";"46939391";"47088528";"1";"protein_coding";"ENSDARG00000076414"
"arhgef16";"8";"DKEYP-100A1.3";"Rho guanine nucleotide exchange factor (GEF) 16 [Source:ZFIN;Acc:ZDB-GENE-081104-446]";"47099033";"47143828";"1";"protein_coding";"ENSDARG00000077114"
"ybx1";"8";"ybx1";"Y box binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-000629-3]";"47143829";"47152086";"-1";"protein_coding";"ENSDARG00000004757"
"ppih";"8";"ppih";"peptidylprolyl isomerase H (cyclophilin H) [Source:ZFIN;Acc:ZDB-GENE-040625-127]";"47152704";"47206399";"-1";"protein_coding";"ENSDARG00000041530"
"si:dkeyp-100a1.6";"8";"DKEYP-100A1.6";"si:dkeyp-100a1.6 [Source:ZFIN;Acc:ZDB-GENE-081104-448]";"47188154";"47197872";"1";"protein_coding";"ENSDARG00000092141"
"pimr189";"8";"DKEYP-100A1.5";"Pim proto-oncogene, serine/threonine kinase, related 189 [Source:ZFIN;Acc:ZDB-GENE-081104-447]";"47209659";"47212686";"-1";"protein_coding";"ENSDARG00000030634"
"mthfr";"8";"DKEYP-100A1.4";"methylenetetrahydrofolate reductase (NAD(P)H) [Source:ZFIN;Acc:ZDB-GENE-041111-215]";"47219107";"47252552";"1";"protein_coding";"ENSDARG00000053087"
"pex10";"8";"pex10";"peroxisomal biogenesis factor 10 [Source:ZFIN;Acc:ZDB-GENE-041010-71]";"47319804";"47329755";"-1";"protein_coding";"ENSDARG00000041511"
"plch2a";"8";"CH211-251B21.2";"phospholipase C, eta 2a [Source:ZFIN;Acc:ZDB-GENE-030131-6367]";"47342586";"47622532";"1";"protein_coding";"ENSDARG00000059960"
"si:ch211-251b21.1";"8";"CH211-251B21.1";"si:ch211-251b21.1 [Source:ZFIN;Acc:ZDB-GENE-060809-5]";"47633438";"47665026";"1";"protein_coding";"ENSDARG00000007275"
"dpp9";"8";"CH211-243P7.2";"dipeptidyl-peptidase 9 [Source:ZFIN;Acc:ZDB-GENE-061013-777]";"47677208";"47723544";"1";"protein_coding";"ENSDARG00000052606"
"CU499311.1";"8";"NULL";"NULL";"47698098";"47698470";"1";"protein_coding";"ENSDARG00000110736"
"si:ch211-243p7.3";"8";"CH211-243P7.3";"si:ch211-243p7.3 [Source:ZFIN;Acc:ZDB-GENE-141216-202]";"47726919";"47751940";"1";"protein_coding";"ENSDARG00000101823"
"kank3";"8";"DKEYP-104H9.6";"KN motif and ankyrin repeat domains 3 [Source:ZFIN;Acc:ZDB-GENE-081105-185]";"47758621";"47823318";"-1";"protein_coding";"ENSDARG00000076566"
"ndufa7";"8";"DKEYP-104H9.1";"NADH:ubiquinone oxidoreductase subunit A7 [Source:ZFIN;Acc:ZDB-GENE-040801-169]";"47804284";"47811955";"1";"protein_coding";"ENSDARG00000036684"
"pimr185";"8";"DKEYP-104H9.7";"Pim proto-oncogene, serine/threonine kinase, related 185 [Source:ZFIN;Acc:ZDB-GENE-081104-450]";"47817454";"47819141";"1";"protein_coding";"ENSDARG00000006109"
"si:dkeyp-104h9.5";"8";"DKEYP-104H9.5";"si:dkeyp-104h9.5 [Source:ZFIN;Acc:ZDB-GENE-081104-449]";"47829361";"47844456";"-1";"protein_coding";"ENSDARG00000073801"
"plod1a";"8";"plod1a";"procollagen-lysine, 2-oxoglutarate 5-dioxygenase 1a [Source:ZFIN;Acc:ZDB-GENE-030131-3165]";"47850073";"47895817";"1";"protein_coding";"ENSDARG00000059746"
"mfn2";"8";"DKEYP-104H9.2";"mitofusin 2 [Source:ZFIN;Acc:ZDB-GENE-081105-44]";"47897734";"47948903";"1";"protein_coding";"ENSDARG00000079504"
"si:ch211-263k4.2";"8";"CH211-263K4.2";"si:ch211-263k4.2 [Source:ZFIN;Acc:ZDB-GENE-081104-207]";"48095911";"48242997";"1";"protein_coding";"ENSDARG00000092738"
"si:ch211-263k4.2";"8";"DKEY-149F22.1";"si:ch211-263k4.2 [Source:ZFIN;Acc:ZDB-GENE-081104-207]";"48480529";"48541957";"1";"protein_coding";"ENSDARG00000078324"
"si:ch211-215j19.12";"8";"CH211-215J19.12";"si:ch211-215j19.12 [Source:ZFIN;Acc:ZDB-GENE-141212-103]";"48558100";"48564416";"1";"protein_coding";"ENSDARG00000104072"
"nppal";"8";"CH211-215J19.11";"natriuretic peptide A-like [Source:ZFIN;Acc:ZDB-GENE-081022-175]";"48603398";"48604351";"1";"protein_coding";"ENSDARG00000052948"
"nppb";"8";"CH211-215J19.10";"natriuretic peptide B [Source:ZFIN;Acc:ZDB-GENE-130530-642]";"48609521";"48610544";"1";"protein_coding";"ENSDARG00000052958"
"nppa";"8";"nppa";"natriuretic peptide A [Source:ZFIN;Acc:ZDB-GENE-030131-95]";"48613040";"48617664";"1";"protein_coding";"ENSDARG00000052960"
"clcn6";"8";"CH211-215J19.9";"chloride channel 6 [Source:ZFIN;Acc:ZDB-GENE-030131-2056]";"48629495";"48669127";"-1";"protein_coding";"ENSDARG00000032577"
"pimr183";"8";"CH211-215J19.8";"Pim proto-oncogene, serine/threonine kinase, related 183 [Source:ZFIN;Acc:ZDB-GENE-141222-29]";"48673596";"48675775";"-1";"protein_coding";"ENSDARG00000041462"
"pimr182";"8";"CH211-215J19.6";"Pim proto-oncogene, serine/threonine kinase, related 182 [Source:ZFIN;Acc:ZDB-GENE-141222-19]";"48703005";"48704688";"-1";"protein_coding";"ENSDARG00000102529"
"pimr180";"8";"CH211-215J19.4";"Pim proto-oncogene, serine/threonine kinase, related 180 [Source:ZFIN;Acc:ZDB-GENE-141222-35]";"48739990";"48741106";"-1";"protein_coding";"ENSDARG00000068145"
"pimr181";"8";"CH211-215J19.3";"Pim proto-oncogene, serine/threonine kinase, related 181 [Source:ZFIN;Acc:ZDB-GENE-141211-77]";"48754895";"48756201";"-1";"protein_coding";"ENSDARG00000101779"
"pimr184";"8";"CH211-215J19.2";"Pim proto-oncogene, serine/threonine kinase, related 184 [Source:ZFIN;Acc:ZDB-GENE-141217-1]";"48768873";"48770603";"-1";"protein_coding";"ENSDARG00000100045"
"tprg1l";"8";"fam79a";"tumor protein p63 regulated 1-like [Source:ZFIN;Acc:ZDB-GENE-070531-2]";"48801402";"48809736";"1";"protein_coding";"ENSDARG00000068149"
"wrap73";"8";"wdr8";"WD repeat containing, antisense to TP73 [Source:ZFIN;Acc:ZDB-GENE-030131-6313]";"48816082";"48847772";"-1";"protein_coding";"ENSDARG00000009557"
"tp73";"8";"tp73";"tumor protein p73 [Source:ZFIN;Acc:ZDB-GENE-030814-2]";"48848200";"48935476";"1";"protein_coding";"ENSDARG00000017953"
"rer1";"8";"rer1";"retention in endoplasmic reticulum sorting receptor 1 [Source:ZFIN;Acc:ZDB-GENE-040426-1494]";"48942470";"48961405";"1";"protein_coding";"ENSDARG00000012747"
"aak1a";"8";"DKEY-71C4.3";"AP2 associated kinase 1a [Source:ZFIN;Acc:ZDB-GENE-081105-101]";"48965767";"49044259";"1";"protein_coding";"ENSDARG00000011855"
"ddx51";"8";"ddx51";"DEAD (Asp-Glu-Ala-Asp) box polypeptide 51 [Source:ZFIN;Acc:ZDB-GENE-040927-28]";"49065348";"49089382";"1";"protein_coding";"ENSDARG00000025854"
"zgc:56525";"8";"ZFOS-202G5.1";"zgc:56525 [Source:ZFIN;Acc:ZDB-GENE-040426-1060]";"49092039";"49115695";"1";"protein_coding";"ENSDARG00000025858"
"rad21l1";"8";"CH1073-428E6.1";"RAD21 cohesin complex component like 1 [Source:ZFIN;Acc:ZDB-GENE-061103-505]";"49117506";"49140645";"1";"protein_coding";"ENSDARG00000022493"
"snpha";"8";"CH211-37P17.3";"syntaphilin a [Source:ZFIN;Acc:ZDB-GENE-081104-227]";"49149907";"49155185";"1";"protein_coding";"ENSDARG00000078485"
"fkbp1aa";"8";"DKEY-95O9.1";"FKBP prolyl isomerase 1Aa [Source:ZFIN;Acc:ZDB-GENE-030131-7275]";"49169768";"49172500";"-1";"protein_coding";"ENSDARG00000022684"
"zgc:171501";"8";"DKEY-95O9.2";"zgc:171501 [Source:ZFIN;Acc:ZDB-GENE-080204-10]";"49173131";"49201258";"-1";"protein_coding";"ENSDARG00000075375"
"fam110a";"8";"DKEY-95O9.3";"family with sequence similarity 110 member A [Source:ZFIN;Acc:ZDB-GENE-030521-6]";"49206057";"49207319";"-1";"protein_coding";"ENSDARG00000015293"
"prickle3";"8";"CH211-194E1.5";"prickle homolog 3 [Source:ZFIN;Acc:ZDB-GENE-081105-86]";"49230948";"49304602";"-1";"protein_coding";"ENSDARG00000073996"
"plp2";"8";"CH211-194E1.6";"proteolipid protein 2 [Source:ZFIN;Acc:ZDB-GENE-030710-11]";"49310785";"49345388";"-1";"protein_coding";"ENSDARG00000036630"
"si:ch211-194e1.7";"8";"CH211-194E1.9";"si:ch211-194e1.7 [Source:ZFIN;Acc:ZDB-GENE-081105-104]";"49358744";"49375608";"-1";"protein_coding";"ENSDARG00000068127"
"si:ch211-194e1.7";"8";"CH211-194E1.7";"si:ch211-194e1.7 [Source:ZFIN;Acc:ZDB-GENE-081105-104]";"49384263";"49399470";"-1";"protein_coding";"ENSDARG00000096449"
"sypb";"8";"sypb";"synaptophysin b [Source:ZFIN;Acc:ZDB-GENE-040718-205]";"49403668";"49432061";"-1";"protein_coding";"ENSDARG00000002230"
"nfu1";"8";"hirip5";"NFU1 iron-sulfur cluster scaffold homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-050417-365]";"49433663";"49447946";"1";"protein_coding";"ENSDARG00000068125"
"opn7d";"8";"CH211-37P17.5";"opsin 7, group member d [Source:ZFIN;Acc:ZDB-GENE-081105-91]";"49478026";"49499457";"-1";"protein_coding";"ENSDARG00000068124"
"rasef";"8";"CH73-275J21.1";"RAS and EF-hand domain containing [Source:ZFIN;Acc:ZDB-GENE-081105-157]";"49570884";"49606121";"1";"protein_coding";"ENSDARG00000076250"
"frmd3";"8";"CH73-230E15.1";"FERM domain containing 3 [Source:ZFIN;Acc:ZDB-GENE-070523-1]";"49617946";"49705058";"-1";"protein_coding";"ENSDARG00000059885"
"gkap1";"8";"gkap1";"G kinase anchoring protein 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2485]";"49706387";"49728754";"-1";"protein_coding";"ENSDARG00000068123"
"zgc:136564";"8";"CH211-37P17.6";"zgc:136564 [Source:ZFIN;Acc:ZDB-GENE-070410-3]";"49730163";"49743517";"-1";"protein_coding";"ENSDARG00000041372"
"hnrnpk";"8";"hnrpk";"heterogeneous nuclear ribonucleoprotein K [Source:ZFIN;Acc:ZDB-GENE-040426-1926]";"49744801";"49766241";"-1";"protein_coding";"ENSDARG00000018914"
"rmi1";"8";"rmi1";"RMI1, RecQ mediated genome instability 1, homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-040426-829]";"49766338";"49769987";"1";"protein_coding";"ENSDARG00000041376"
"ntrk2a";"8";"ntrk2a";"neurotrophic tyrosine kinase, receptor, type 2a [Source:ZFIN;Acc:ZDB-GENE-010126-1]";"49778486";"49865375";"1";"protein_coding";"ENSDARG00000059897"
"agtpbp1";"8";"CH73-236B16.2";"ATP/GTP binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-081104-267]";"49885638";"49935358";"-1";"protein_coding";"ENSDARG00000105214"
"CU694202.1";"8";"agtpbp1";"NULL";"49928535";"49935358";"-1";"protein_coding";"ENSDARG00000097014"
"naa35";"8";"naa35";"N(alpha)-acetyltransferase 35, NatC auxiliary subunit [Source:ZFIN;Acc:ZDB-GENE-030131-306]";"49936585";"49969184";"1";"protein_coding";"ENSDARG00000012378"
"gfpt1";"8";"gfpt1";"glutamine--fructose-6-phosphate transaminase 1 [Source:ZFIN;Acc:ZDB-GENE-070423-1]";"49975160";"50037559";"1";"protein_coding";"ENSDARG00000057465"
"antxr1a";"8";"CH73-132K15.3";"ANTXR cell adhesion molecule 1a [Source:ZFIN;Acc:ZDB-GENE-110411-15]";"50066802";"50133064";"-1";"protein_coding";"ENSDARG00000025672"
"si:ch73-132k15.2";"8";"CH73-132K15.2";"si:ch73-132k15.2 [Source:ZFIN;Acc:ZDB-GENE-110411-191]";"50134007";"50135528";"-1";"protein_coding";"ENSDARG00000095867"
"hp";"8";"CH73-132K15.1";"haptoglobin [Source:ZFIN;Acc:ZDB-GENE-030131-1259]";"50143194";"50147948";"-1";"protein_coding";"ENSDARG00000095807"
"entpd4";"8";"entpd4";"ectonucleoside triphosphate diphosphohydrolase 4 [Source:ZFIN;Acc:ZDB-GENE-040718-116]";"50150834";"50180226";"1";"protein_coding";"ENSDARG00000038422"
"slc25a37";"8";"slc25a37";"solute carrier family 25 member 37 [Source:ZFIN;Acc:ZDB-GENE-031118-202]";"50190742";"50217915";"1";"protein_coding";"ENSDARG00000073743"
"nkx3-1";"8";"CH211-67O1.2";"NK3 homeobox 1 [Source:ZFIN;Acc:ZDB-GENE-081104-238]";"50256930";"50259448";"-1";"protein_coding";"ENSDARG00000078280"
"nkx2.7";"8";"nkx2.7";"NK2 transcription factor related 7 [Source:ZFIN;Acc:ZDB-GENE-990415-179]";"50284859";"50287949";"-1";"protein_coding";"ENSDARG00000021232"
"stc1";"8";"CH211-67O1.3";"stanniocalcin 1 [Source:ZFIN;Acc:ZDB-GENE-060825-79]";"50322769";"50346246";"-1";"protein_coding";"ENSDARG00000003303"
"ido1";"8";"DKEY-263F15.1";"indoleamine 2,3-dioxygenase 1 [Source:ZFIN;Acc:ZDB-GENE-080228-2]";"50463227";"50482781";"-1";"protein_coding";"ENSDARG00000033594"
"rhobtb2a";"8";"DKEY-263F15.2";"Rho related BTB domain containing 2a [Source:ZFIN;Acc:ZDB-GENE-081105-67]";"50493095";"50502243";"1";"protein_coding";"ENSDARG00000074828"
"CABZ01060030.1";"8";"NULL";"rho-related BTB domain-containing protein 2-like [Source:NCBI gene;Acc:100331257]";"50520139";"50525360";"-1";"protein_coding";"ENSDARG00000106579"
"PEBP4";"8";"NULL";"phosphatidylethanolamine binding protein 4 [Source:HGNC Symbol;Acc:HGNC:28319]";"50531709";"50705652";"1";"protein_coding";"ENSDARG00000107065"
"egr3";"8";"CH73-6L19.1";"early growth response 3 [Source:ZFIN;Acc:ZDB-GENE-040718-394]";"50727220";"50733508";"1";"protein_coding";"ENSDARG00000089156"
"bin3";"8";"CH73-6L19.2";"bridging integrator 3 [Source:ZFIN;Acc:ZDB-GENE-030131-2696]";"50742975";"50839564";"1";"protein_coding";"ENSDARG00000099651"
"acsl2";"8";"NULL";"acyl-CoA synthetase long chain family member 2 [Source:ZFIN;Acc:ZDB-GENE-130530-851]";"50840565";"50888806";"-1";"protein_coding";"ENSDARG00000078399"
"b2ml";"8";"DKEY-32E23.1";"beta-2-microglobulin, like [Source:ZFIN;Acc:ZDB-GENE-040426-2136]";"50942240";"50950549";"1";"protein_coding";"ENSDARG00000015887"
"UBL4A";"8";"DKEY-32E23.2";"ubiquitin like 4A [Source:HGNC Symbol;Acc:HGNC:12505]";"50953776";"50962889";"1";"protein_coding";"ENSDARG00000007359"
"rab7b";"8";"DKEY-32E23.3";"RAB7b, member RAS oncogene family [Source:ZFIN;Acc:ZDB-GENE-180906-1]";"50968990";"50981175";"-1";"protein_coding";"ENSDARG00000021287"
"si:dkey-32e23.4";"8";"DKEY-32E23.4";"si:dkey-32e23.4 [Source:ZFIN;Acc:ZDB-GENE-081105-41]";"50979018";"51027541";"1";"protein_coding";"ENSDARG00000063159"
"DISP3";"8";"DKEY-32E23.6";"dispatched RND transporter family member 3 [Source:HGNC Symbol;Acc:HGNC:29251]";"51050554";"51147594";"1";"protein_coding";"ENSDARG00000036999"
"bmp1a";"8";"NULL";"bone morphogenetic protein 1a [Source:ZFIN;Acc:ZDB-GENE-060818-1]";"51165392";"51293301";"-1";"protein_coding";"ENSDARG00000028071"
"kansl3";"8";"CH211-198O12.5";"KAT8 regulatory NSL complex subunit 3 [Source:ZFIN;Acc:ZDB-GENE-050809-132]";"51304099";"51340931";"-1";"protein_coding";"ENSDARG00000029556"
"si:ch211-198o12.4";"8";"CH211-198O12.4";"si:ch211-198o12.4 [Source:ZFIN;Acc:ZDB-GENE-060503-300]";"51341612";"51349431";"-1";"protein_coding";"ENSDARG00000068098"
"chmp7";"8";"chmp7";"charged multivesicular body protein 7 [Source:ZFIN;Acc:ZDB-GENE-040426-1750]";"51350453";"51367298";"-1";"protein_coding";"ENSDARG00000041362"
"lgi3";"8";"lgi3";"leucine-rich repeat LGI family, member 3 [Source:ZFIN;Acc:ZDB-GENE-060217-4]";"51375308";"51404806";"-1";"protein_coding";"ENSDARG00000041358"
"fgfr1a";"8";"fgfr1a";"fibroblast growth factor receptor 1a [Source:ZFIN;Acc:ZDB-GENE-980526-255]";"51430597";"51524453";"-1";"protein_coding";"ENSDARG00000011027"
"ankrd39";"8";"CH211-178D20.1";"ankyrin repeat domain 39 [Source:ZFIN;Acc:ZDB-GENE-081104-153]";"51573124";"51579286";"-1";"protein_coding";"ENSDARG00000041350"
"kctd9a";"8";"DKEY-111H22.2";"potassium channel tetramerization domain containing 9a [Source:ZFIN;Acc:ZDB-GENE-050320-147]";"51586483";"51599169";"-1";"protein_coding";"ENSDARG00000021209"
"npy8br";"8";"npyryb";"neuropeptide Y receptor Y8b [Source:ZFIN;Acc:ZDB-GENE-980526-208]";"51634803";"51635930";"-1";"protein_coding";"ENSDARG00000005780"
"klhl22";"8";"CH1073-357M21.1";"kelch-like family member 22 [Source:ZFIN;Acc:ZDB-GENE-081104-154]";"51707781";"51726631";"1";"protein_coding";"ENSDARG00000088807"
"tbx16";"8";"tbx16";"T-box transcription factor 16 [Source:ZFIN;Acc:ZDB-GENE-990615-5]";"51733907";"51753604";"-1";"protein_coding";"ENSDARG00000007329"
"si:ch73-313l22.2";"8";"CH73-313L22.2";"si:ch73-313l22.2 [Source:ZFIN;Acc:ZDB-GENE-091204-459]";"51779734";"51806584";"-1";"protein_coding";"ENSDARG00000094868"
"cabin1";"8";"CH211-53F16.1";"calcineurin binding protein 1 [Source:ZFIN;Acc:ZDB-GENE-030131-1735]";"51779734";"51933662";"-1";"protein_coding";"ENSDARG00000079326"
"cep78";"8";"CH211-53F16.2";"centrosomal protein 78 [Source:ZFIN;Acc:ZDB-GENE-070905-1]";"51933983";"51954598";"-1";"protein_coding";"ENSDARG00000039229"
"gna14a";"8";"CH211-155H12.8";"guanine nucleotide binding protein (G protein), alpha 14a [Source:ZFIN;Acc:ZDB-GENE-081105-76]";"51958968";"51986997";"1";"protein_coding";"ENSDARG00000025013"
"vps13a";"8";"vps13a";"vacuolar protein sorting 13 homolog A [Source:ZFIN;Acc:ZDB-GENE-030926-1]";"51992344";"52091696";"-1";"protein_coding";"ENSDARG00000039225"
"tcf7l1b";"8";"tcf7l1b";"transcription factor 7 like 1b [Source:ZFIN;Acc:ZDB-GENE-991110-10]";"52106818";"52230115";"-1";"protein_coding";"ENSDARG00000007369"
"ube2d4";"8";"ube2d4";"ubiquitin-conjugating enzyme E2D 4 (putative) [Source:ZFIN;Acc:ZDB-GENE-070424-86]";"52284075";"52297799";"1";"protein_coding";"ENSDARG00000015057"
"dbnlb";"8";"NULL";"drebrin-like b [Source:ZFIN;Acc:ZDB-GENE-050522-293]";"52314542";"52350684";"1";"protein_coding";"ENSDARG00000016016"
"arid5a";"8";"NULL";"AT rich interactive domain 5A (MRF1-like) [Source:ZFIN;Acc:ZDB-GENE-100525-3]";"52377516";"52403265";"1";"protein_coding";"ENSDARG00000077120"
"CABZ01070469.1";"8";"NULL";"cytochrome c oxidase subunit 5B1 [Source:NCBI gene;Acc:100002384]";"52408583";"52413032";"-1";"protein_coding";"ENSDARG00000113254"
"gins4";"8";"NULL";"GINS complex subunit 4 (Sld5 homolog) [Source:ZFIN;Acc:ZDB-GENE-040801-59]";"52415603";"52431522";"1";"protein_coding";"ENSDARG00000016044"
"zgc:77112";"8";"NULL";"zgc:77112 [Source:ZFIN;Acc:ZDB-GENE-040426-2219]";"52442622";"52447101";"1";"protein_coding";"ENSDARG00000015657"
"phyhip";"8";"NULL";"phytanoyl-CoA 2-hydroxylase interacting protein [Source:NCBI gene;Acc:100002455]";"52453146";"52473054";"-1";"protein_coding";"ENSDARG00000116497"
"FO704661.1";"8";"NULL";"gamma-glutamyl hydrolase [Source:NCBI gene;Acc:553228]";"52479026";"52490474";"1";"protein_coding";"ENSDARG00000102758"
"RNF122";"8";"CH1073-392O20.1";"ring finger protein 122 [Source:HGNC Symbol;Acc:HGNC:21147]";"52491436";"52510317";"1";"protein_coding";"ENSDARG00000102075"
"si:ch1073-392o20.2";"8";"CH1073-392O20.2";"si:ch1073-392o20.2 [Source:ZFIN;Acc:ZDB-GENE-091204-431]";"52515188";"52529642";"1";"protein_coding";"ENSDARG00000102599"
"stambpb";"8";"CH73-199G24.1";"STAM binding protein b [Source:ZFIN;Acc:ZDB-GENE-051127-31]";"52530889";"52547957";"1";"protein_coding";"ENSDARG00000086906"
"si:ch73-199g24.2";"8";"CH73-199G24.2";"si:ch73-199g24.2 [Source:ZFIN;Acc:ZDB-GENE-081105-181]";"52550241";"52594111";"-1";"protein_coding";"ENSDARG00000099294"
"ccn1l2";"8";"cyr61l2";"cellular communication network factor 1, like 2 [Source:ZFIN;Acc:ZDB-GENE-060404-5]";"52619365";"52631064";"1";"protein_coding";"ENSDARG00000099985"
"si:dkey-90l8.3";"8";"CH73-112O19.2";"si:dkey-90l8.3 [Source:ZFIN;Acc:ZDB-GENE-081105-149]";"52637507";"52647790";"1";"protein_coding";"ENSDARG00000103676"
"bcl2l16";"8";"NULL";"BCL2 like 16 [Source:ZFIN;Acc:ZDB-GENE-140619-1]";"52701811";"52716316";"1";"protein_coding";"ENSDARG00000114237"
"tubb2b";"8";"CH73-112O19.3";"tubulin, beta 2b [Source:ZFIN;Acc:ZDB-GENE-030131-722]";"52713232";"52715911";"-1";"protein_coding";"ENSDARG00000098591"
"fgf17";"8";"fgf17b";"fibroblast growth factor 17 [Source:ZFIN;Acc:ZDB-GENE-040621-1]";"52732107";"52745168";"-1";"protein_coding";"ENSDARG00000102778"
"adgrd2";"8";"CH211-237H13.5";"adhesion G protein-coupled receptor D2 [Source:ZFIN;Acc:ZDB-GENE-081104-190]";"52788997";"52826181";"1";"protein_coding";"ENSDARG00000103067"
"nr5a1a";"8";"nr5a1a";"nuclear receptor subfamily 5, group A, member 1a [Source:ZFIN;Acc:ZDB-GENE-010504-1]";"52833443";"52871056";"-1";"protein_coding";"ENSDARG00000103176"
"nr6a1a";"8";"ZFOS-2499A5.1";"nuclear receptor subfamily 6, group A, member 1a [Source:ZFIN;Acc:ZDB-GENE-991207-19]";"52888295";"53044300";"-1";"protein_coding";"ENSDARG00000101508"
"nr6a1a";"8";"CH73-96J22.1";"nuclear receptor subfamily 6, group A, member 1a [Source:ZFIN;Acc:ZDB-GENE-991207-19]";"53040551";"53044089";"-1";"protein_coding";"ENSDARG00000096224"
"nadka";"8";"CH73-96J22.2";"NAD kinase a [Source:ZFIN;Acc:ZDB-GENE-050417-39]";"53051701";"53062017";"1";"protein_coding";"ENSDARG00000006577"
"nadka";"8";"DKEYP-87A12.8";"NAD kinase a [Source:ZFIN;Acc:ZDB-GENE-050417-39]";"53064920";"53069540";"1";"protein_coding";"ENSDARG00000098313"
"wdr46";"8";"wdr46";"WD repeat domain 46 [Source:ZFIN;Acc:ZDB-GENE-040426-1264]";"53080515";"53096754";"1";"protein_coding";"ENSDARG00000095879"
"b3galt4";"8";"DKEYP-87A12.9";"UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 4 [Source:ZFIN;Acc:ZDB-GENE-081104-482]";"53107380";"53108207";"-1";"protein_coding";"ENSDARG00000076218"
"nr2c2";"8";"nr2c2";"nuclear receptor subfamily 2, group C, member 2 [Source:ZFIN;Acc:ZDB-GENE-080403-8]";"53120278";"53142068";"1";"protein_coding";"ENSDARG00000042477"
"mrps25";"8";"mrps25";"mitochondrial ribosomal protein S25 [Source:ZFIN;Acc:ZDB-GENE-050417-52]";"53143211";"53152093";"1";"protein_coding";"ENSDARG00000041306"
"rbsn";"8";"DKEYP-87A12.4";"rabenosyn, RAB effector [Source:ZFIN;Acc:ZDB-GENE-100525-1]";"53150972";"53169445";"-1";"protein_coding";"ENSDARG00000078215"
"sult1st4";"8";"sult1st4";"sulfotransferase family 1, cytosolic sulfotransferase 4 [Source:ZFIN;Acc:ZDB-GENE-040426-2054]";"53171002";"53179683";"-1";"protein_coding";"ENSDARG00000003181"
"gabrd";"8";"DKEYP-87A12.2";"gamma-aminobutyric acid (GABA) A receptor, delta [Source:ZFIN;Acc:ZDB-GENE-081105-170]";"53185079";"53198154";"-1";"protein_coding";"ENSDARG00000059763"
"cacna1db";"8";"CH73-52N1.1";"calcium channel, voltage-dependent, L type, alpha 1D subunit, b [Source:ZFIN;Acc:ZDB-GENE-040525-3]";"53204017";"53260670";"1";"protein_coding";"ENSDARG00000075917"
